<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;;;;;;;129;8;;;;;;;;39;20065,54785
MOEX,MDMG:TQBR;60;20210220;120000;524,9;;;;;;511,2375;0;154,4610055;;2,820895522;73,828125;30;70;;0,00;38,18295804;20042,23467
MOEX,MDMG:TQBR;60;20210220;130000;529;;;;;;513,275;0;154,4610055;;6,865671642;87,28652751;30;70;;0,00;38,18295804;20198,7848
MOEX,MDMG:TQBR;60;20210220;140000;531;;;;;;515,98125;0;154,4610055;;8,474576271;89,44543828;30;70;;0,00;38,18295804;20275,15072
MOEX,MDMG:TQBR;60;20210220;150000;537;;;;;;519,4875;0;154,4610055;;31;96,875;30;70;;0,00;38,18295804;20504,24847
MOEX,MDMG:TQBR;60;20210220;160000;541,6;;;;;;523,8125;0;154,4610055;;;;30;70;;20679,89;0;20679,89007
MOEX,MDMG:TQBR;60;20210220;170000;540;;;;;;528,0625;0;154,4610055;;19,75;95,18072289;30;70;;0,00;38,29609273;20679,89007
MOEX,MDMG:TQBR;60;20210220;180000;542,6;;;;;;532,1375;0;154,4610055;;20,75;95,40229885;30;70;;0,00;38,29609273;20779,45991
MOEX,MDMG:TQBR;60;20210220;190000;537,05;;;;;;535,39375;0;154,4610055;;2,699300699;72,96786389;30;70;;0,00;38,29609273;20566,9166
MOEX,MDMG:TQBR;60;20210222;110000;559;;;;;;539,65625;0;154,4610055;;5,195804196;83,86004515;30;70;;0,00;38,29609273;21407,51583
MOEX,MDMG:TQBR;60;20210222;120000;553,7;;;;;;542,74375;0;154,4610055;;2,823293173;73,84453782;30;70;;0,00;38,29609273;21204,54654
MOEX,MDMG:TQBR;60;20210222;130000;560;;;;;;546,36875;0;154,4610055;;2,847389558;74,00835073;30;70;;0,00;38,29609273;21445,81193
MOEX,MDMG:TQBR;60;20210222;140000;559,65;;;;;;549,2;0;154,4610055;;2,41015625;70,67583047;30;70;;0,00;38,29609273;21432,40829
MOEX,MDMG:TQBR;60;20210222;150000;555,55;;;;;;550,94375;0;154,4610055;;2,016339869;66,84723727;30;70;;21275,39;0;21275,39431
MOEX,MDMG:TQBR;60;20210222;160000;558;;;;;;553,19375;0;154,4610055;;2,006535948;66,73913043;30;70;;21275,39;0;21275,39431
MOEX,MDMG:TQBR;60;20210222;170000;559,8;;;;;;555,34375;0;154,4610055;;3,333333333;76,92307692;30;70;;21275,39;0;21275,39431
MOEX,MDMG:TQBR;60;20210222;180000;556,85;;;;;;557,81875;0,277383506;0;;0,830708661;45,37634409;30;70;;21275,39;0;21275,39431
MOEX,MDMG:TQBR;60;20210222;190000;543,95;;;;;;555,9375;0,277383506;0;;0,519704433;34,19773096;30;70;;21275,39;0;21275,39431
MOEX,MDMG:TQBR;60;20210224;110000;548;;;;;;555,225;0,277383506;0;;0,408866995;29,02097902;30;70;;21275,39;0;21275,39431
MOEX,MDMG:TQBR;60;20210224;120000;537,05;;;;;;552,35625;0,277383506;0;;0,268608414;21,17346939;30;70;;21275,39;0;21275,39431
