<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;;;;;;;;8
MOEX;60;20220128;210000;144,05;;;;;;;;
MOEX;60;20220128;220000;144,31;;;;;;;;
MOEX;60;20220128;230000;143,74;;;;;;;;
MOEX;60;20220129;0;144,4;;;;;;;;
MOEX;60;20220131;80000;145,61;;;;;;;;
MOEX;60;20220131;90000;145,47;;;;;;;;
MOEX;60;20220131;100000;145,22;;;;;;;;
MOEX;60;20220131;110000;145,5;;;;;;;;
MOEX;60;20220131;120000;145,15;;;;;;;;
MOEX;60;20220131;130000;145,42;;;;;;;;
MOEX;60;20220131;140000;145,45;;;;;;;;
MOEX;60;20220131;150000;145,19;;;;;;;;
MOEX;60;20220131;160000;145,37;;;;;;;;
MOEX;60;20220131;170000;145,15;;;;;;;;
MOEX;60;20220131;180000;144,15;;;;;;;;
MOEX;60;20220131;190000;144,77;;;;;;;;
MOEX;60;20220131;200000;144,91;;;;;;;;
MOEX;60;20220131;210000;144,85;;;;;;;;
MOEX;60;20220131;220000;145,02;;;;;;;;
MOEX;60;20220131;230000;144,57;;;;;;;;
MOEX;60;20220201;0;145,05;;;;;;;;
MOEX;60;20220201;80000;144,97;;;;;;;;
MOEX;60;20220201;90000;145,09;;;;;;;;
MOEX;60;20220201;100000;144,94;;;;;;;;
MOEX;60;20220201;110000;144,32;;;;;;;;
MOEX;60;20220201;120000;145,12;;;;;;;;
MOEX;60;20220201;130000;145,11;;;;;;;;
MOEX;60;20220201;140000;145,57;;;;;;;;
MOEX;60;20220201;150000;146,14;;;;;;;;
MOEX;60;20220201;160000;145,76;;;;;;;;
MOEX;60;20220201;170000;145,35;;;;;;;;
MOEX;60;20220201;180000;144,58;;;;;;;;
MOEX;60;20220201;190000;144,07;;;;;;;;
MOEX;60;20220201;200000;144,21;;;;;;;;
MOEX;60;20220201;210000;144,37;;;;;;;;
MOEX;60;20220201;220000;144,34;;;;;;;;
MOEX;60;20220201;230000;144,76;;;;;;;;
MOEX;60;20220202;0;145,57;;;;;;;;
MOEX;60;20220202;80000;145,03;;;;;;;;
MOEX;60;20220202;90000;145,51;;;;;;;;
MOEX;60;20220202;100000;145,85;;;;;;;;
MOEX;60;20220202;110000;144,07;;;;;;;;
MOEX;60;20220202;120000;144,44;;;;;;;;
MOEX;60;20220202;130000;143,19;;;;;;;;
MOEX;60;20220202;140000;142,57;;;;;;;;
MOEX;60;20220202;150000;142,86;;;;;;;;
MOEX;60;20220202;160000;142,99;;;;;;;;
MOEX;60;20220202;170000;142,75;;;;;;;;
MOEX;60;20220202;180000;142,64;;;;;;;;
MOEX;60;20220202;190000;141,79;;;;;;;;
MOEX;60;20220202;200000;141,95;;;;;;;;
MOEX;60;20220202;210000;142,21;;;;;;;;
MOEX;60;20220202;220000;142,39;;;;;;;;
MOEX;60;20220202;230000;142,22;;;;;;;;
MOEX;60;20220203;0;142,9;;;;;;;;
MOEX;60;20220203;80000;141,44;;;;;;;;
MOEX;60;20220203;90000;141,85;;;;;;;;
MOEX;60;20220203;100000;140,4;;;;;;;;
MOEX;60;20220203;110000;140;;;;;;;;
MOEX;60;20220203;120000;139,91;;;;;;;;
MOEX;60;20220203;130000;137,56;;;;;;;;
MOEX;60;20220203;140000;137,79;;;;;;;;
MOEX;60;20220203;150000;138,25;;;;;;;;
MOEX;60;20220203;160000;137,89;;;;;;;;
